Identifier,Age,Height,Level of studies,Voice type,accent,Hair color,glasses,Body type,Tattoos,Gender,PK,food,JobInvolvement,WorkLifeBalance,jailexp
22,38,169.26,8,mid range,Midwestern American,blond,Yes,ectomorph,Yes,M,Yes,Burger,VeryHigh,6644,Missing
23,20,200.2,1,deep,Northern Irish,brown,No,**??,No,M,No,Hot Dogs,Medium,Good,?
24,19,183.79,1,deep,Midwestern American,black,Yes,?,Yes,M,No,Burger,VeryHigh,6833,543
25,42,140.95,6,deep,Yorkshire,black,Missing,endomorph,Yes,M,------->?,Apple Pie,VeryHigh,4349,------->?
26,22,204.29,1,high pitched,Northern Irish,black,No,ectomorph,Yes,M,No,Burger,VeryHigh,7233,------->?
27,?,197.76,2,mid range,Northern Irish,brown,No,endomorph,No,M,?,Pizza,High,great,591
28,30,164.33,6,deep,Scottish,blond,Yes,ectomorph,No,M,Yes,Missing,Low,Bad,831
29,**??,193.42,0,mid range,french,red,No,mesomorph,?,M,No,Burger,Low,Bad,137
30,29,142.54,7,**??,Midwestern American,white/gray,No,?,No,M,Yes,Burger,VeryHigh,3755,855
31,18,182.57,Missing,------->?,Northern Irish,white/gray,No,endomorph,Yes,M,No,Hot Dogs,7915,7915,?
32,55,143.08,5,------->?,East Coast City Dialects,blond,Yes,mesomorph,No,Missing,Yes,Burger,VeryHigh,6892,905
33,23,195.27,2,high pitched,french,black,No,ectomorph,No,M,No,**??,Medium,Good,?
34,55,140.61,5,deep,East Coast City Dialects,blond,No,mesomorph,No,NB,Yes,Burger,Medium,Good,29
35,30,155.16,5,deep,**??,blond,Yes,endomorph,No,NB,Yes,Burger,Medium,Good,------->?
36,24,178.18,2,high pitched,Midwestern American,brown,Yes,mesomorph,Yes,?,No,Hot Dogs,9202,9202,------->?
37,54,163.21,8,deep,------->?,blond,No,endomorph,Yes,F,Yes,Burger,VeryHigh,6386,1379
38,45,143.76,7,deep,Midwestern American,brown,?,ectomorph,No,F,Yes,Hot Dogs,VeryHigh,7415,?
39,43,164.07,5,deep,Southern American,brown,Yes,ectomorph,Yes,M,Yes,Apple Pie,VeryHigh,4529,**??
40,26,161.33,6,deep,Scottish,blond,Yes,endomorph,Yes,NB,Yes,Pizza,Low,Bad,**??
41,19,198.38,0,mid range,Southern American,black,No,mesomorph,Yes,M,No,Pizza,8827,8827,?
42,24,?,2,deep,East Coast City Dialects,**??,Yes,ectomorph,Yes,NB,?,Burger,VeryHigh,5281,235
43,18,**??,1,high pitched,Northern Irish,black,Yes,ectomorph,Yes,NB,No,------->?,VeryHigh,7158,1385
44,46,164.71,4,deep,Midwestern American,Missing,Yes,ectomorph,No,M,Yes,Pizza,VeryHigh,4200,------->?
45,33,158.47,7,deep,Scottish,**??,No,mesomorph,No,F,Yes,Pizza,Low,Bad,1151
46,21,201.65,1,high pitched,East Coast City Dialects,white/gray,No,mesomorph,Yes,M,No,Pizza,VeryHigh,7079,799
47,26,155.49,4,deep,Canadian,blond,Missing,endomorph,No,M,Yes,Burger,High,great,------->?
48,------->?,191.78,0,Missing,Scottish,black,Yes,ectomorph,Yes,NB,No,Hot Dogs,Low,Bad,927
49,?,199.95,1,high pitched,Cockney,white/gray,Yes,Missing,Yes,M,No,?,Low,Bad,567
50,39,159.94,**??,high pitched,Cockney,blond,Yes,mesomorph,No,NB,Yes,Burger,VeryHigh,6905,65
51,24,207.27,3,**??,East Coast City Dialects,dyed,No,ectomorph,?,?,No,Hot Dogs,VeryHigh,5278,?
52,32,151.74,7,deep,Southern American,blond,Yes,ectomorph,Yes,NB,Yes,Burger,8845,8845,1295
------->?,24,174.73,3,high pitched,Midwestern American,black,No,ectomorph,No,NB,No,Apple Pie,VeryHigh,6923,661
54,19,197.66,**??,deep,Yorkshire,black,No,ectomorph,Yes,M,No,Burger,VeryHigh,4624,895
55,25,159.26,4,------->?,Canadian,brown,Yes,mesomorph,Missing,F,Yes,Burger,Medium,Good,525
56,53,148.07,7,deep,Midwestern American,blond,**??,mesomorph,No,NB,Yes,Burger,Medium,Good,?
57,54,149.36,8,deep,Italian,brown,No,ectomorph,Yes,F,Yes,Burger,9431,9431,885
58,41,164.74,7,deep,East Coast City Dialects,brown,No,ectomorph,No,M,Yes,Missing,High,great,?
59,18,173.95,**??,high pitched,Yorkshire,white/gray,No,mesomorph,Yes,NB,No,Burger,Medium,Good,Missing
60,34,145.71,5,deep,Midwestern American,brown,Yes,endomorph,No,NB,Yes,Burger,VeryHigh,6773,1435
61,32,------->?,7,Missing,**??,blond,No,ectomorph,Missing,M,Yes,Pizza,VeryHigh,6551,**??
62,**??,176.32,2,mid range,Northern Irish,white/gray,No,mesomorph,No,M,No,Burger,VeryHigh,7333,?
------->?,19,------->?,1,deep,Midwestern American,white/gray,No,endomorph,Yes,F,No,Hot Dogs,9244,9244,1391
64,29,160.89,6,high pitched,Northern Irish,blond,Yes,**??,No,NB,Yes,Pizza,High,great,1433
65,39,144.88,4,deep,Welsh,blond,No,endomorph,No,M,Yes,Hot Dogs,VeryHigh,4428,Missing
66,26,145.78,5,deep,Southern American,**??,Yes,endomorph,------->?,NB,Yes,Hot Dogs,VeryHigh,7122,?
67,24,184.84,4,mid range,East Coast City Dialects,white/gray,No,Missing,No,M,No,Pizza,High,great,Missing
68,42,**??,7,Missing,Southern American,brown,No,**??,Yes,F,Yes,Burger,Medium,Good,**??
69,20,187.32,0,mid range,Southern American,black,No,ectomorph,No,NB,**??,Burger,High,great,191
70,20,204.79,1,deep,Southern American,white/gray,No,mesomorph,Yes,------->?,No,Burger,High,great,219
71,22,205.19,0,mid range,Southern American,black,No,**??,No,M,No,Burger,Medium,Good,1179
72,19,206.45,2,high pitched,Northern Irish,brown,Yes,mesomorph,No,M,No,Burger,7633,7633,?
73,19,193.48,1,high pitched,Southern American,white/gray,No,ectomorph,No,NB,No,Burger,High,great,207
?,------->?,151.36,6,deep,------->?,blond,No,ectomorph,No,NB,Yes,Pizza,VeryHigh,6560,847
75,18,176.94,2,mid range,Southern American,brown,Yes,ectomorph,Yes,F,No,Pizza,Medium,Good,819
------->?,21,176.2,0,mid range,Southern American,white/gray,No,------->?,No,F,No,Hot Dogs,High,great,917
77,?,206.5,2,high pitched,East Coast City Dialects,black,No,mesomorph,No,M,No,Burger,8897,8897,Missing
78,37,Missing,5,mid range,Northern Irish,dyed,Yes,ectomorph,Yes,NB,Yes,Burger,Low,Bad,261
79,?,161.04,6,deep,french,blond,Yes,mesomorph,No,F,Yes,Apple Pie,VeryHigh,7102,**??
**??,39,165.1,8,deep,Midwestern American,brown,Yes,mesomorph,No,?,Yes,Burger,High,great,Missing
81,46,155.27,8,**??,Northern Irish,brown,Yes,ectomorph,Yes,NB,Yes,Burger,VeryHigh,5943,891
82,55,158.86,8,deep,Midwestern American,white/gray,Yes,mesomorph,No,F,Yes,Burger,High,great,327
83,49,166.4,5,deep,Midwestern American,blond,Yes,ectomorph,No,F,Yes,Burger,VeryHigh,6079,------->?
84,30,150.72,7,deep,Southern American,blond,Yes,mesomorph,------->?,F,**??,Apple Pie,8961,8961,399
Missing,**??,182.54,2,high pitched,Southern American,white/gray,No,endomorph,No,NB,No,Hot Dogs,VeryHigh,5430,269
86,23,Missing,3,mid range,Northern Irish,Missing,No,endomorph,No,M,No,Hot Dogs,VeryHigh,4322,?
87,27,166.68,5,deep,Southern American,blond,Yes,ectomorph,No,M,Yes,Burger,VeryHigh,5158,955
88,38,165.56,7,mid range,Midwestern American,brown,Yes,mesomorph,No,M,Yes,Burger,8193,8193,Missing
89,18,187.1,2,high pitched,East Coast City Dialects,black,No,mesomorph,No,F,No,------->?,Medium,Good,?
90,54,153.29,4,deep,Southern American,blond,No,ectomorph,Yes,NB,Yes,Burger,7614,7614,**??
91,48,163.86,7,mid range,Midwestern American,white/gray,**??,mesomorph,No,M,Yes,Burger,8139,8139,339
92,34,166.27,4,deep,East Coast City Dialects,blond,No,endomorph,Yes,NB,Yes,Burger,VeryHigh,6546,1113
Missing,54,145.01,8,deep,East Coast City Dialects,dyed,Yes,ectomorph,No,NB,Yes,Burger,VeryHigh,6684,**??
94,52,142.64,7,deep,Midwestern American,blond,No,mesomorph,Yes,NB,Yes,Pizza,VeryHigh,6355,------->?
95,46,158.59,6,deep,Southern American,blond,No,ectomorph,Yes,M,Yes,Pizza,VeryHigh,3514,------->?
96,45,144.1,7,high pitched,Midwestern American,black,Yes,mesomorph,Yes,F,Yes,Burger,8844,8844,271
**??,18,174.35,1,deep,Welsh,blond,No,mesomorph,Yes,M,No,Burger,VeryHigh,7251,------->?
98,22,179.94,4,high pitched,Northern Irish,**??,No,ectomorph,Yes,F,No,Burger,8148,8148,743
99,21,191.92,4,Missing,Midwestern American,white/gray,No,mesomorph,No,NB,No,Missing,VeryHigh,3596,?
100,35,163.67,6,deep,Southern American,brown,Yes,mesomorph,------->?,NB,Yes,Pizza,High,great,Missing
101,------->?,166.02,7,deep,Midwestern American,blond,Yes,endomorph,Yes,NB,Yes,Missing,High,great,1121
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
111,20,195.87,4,high pitched,Canadian,black,No,ectomorph,No,M,No,Burger,VeryHigh,4771,1425
112,27,148,8,deep,Missing,brown,No,endomorph,Yes,M,Yes,?,Medium,Good,------->?
113,23,176.42,0,deep,Northern Irish,white/gray,Yes,mesomorph,No,F,No,Burger,VeryHigh,4699,795
114,24,196.16,------->?,mid range,Welsh,white/gray,Yes,mesomorph,No,M,No,Burger,High,great,1291
115,53,159.93,------->?,mid range,Southern American,brown,Yes,endomorph,Yes,**??,Yes,Burger,High,great,**??
116,55,164.02,6,high pitched,Northern Irish,brown,Yes,mesomorph,No,M,Yes,Hot Dogs,High,great,?
117,45,162.59,5,high pitched,East Coast City Dialects,brown,No,ectomorph,Yes,M,------->?,**??,VeryHigh,7477,------->?
118,19,181.45,0,mid range,Southern American,white/gray,Yes,mesomorph,Yes,M,No,Burger,VeryHigh,4818,1019
119,------->?,163.09,8,mid range,Midwestern American,brown,Yes,**??,Yes,M,Yes,Burger,High,great,**??
120,**??,165.57,7,------->?,Italian,brown,No,endomorph,Yes,M,Yes,Burger,Low,Bad,1315
121,32,161.8,4,high pitched,Midwestern American,blond,Yes,endomorph,Yes,M,Yes,Pizza,High,great,297
122,20,170.17,2,mid range,East Coast City Dialects,black,**??,mesomorph,Yes,F,**??,Hot Dogs,VeryHigh,5178,305
123,22,177.15,3,mid range,Midwestern American,black,Yes,ectomorph,Yes,M,No,Burger,Low,Bad,947
124,23,177.16,4,high pitched,Northern Irish,**??,No,ectomorph,Yes,M,No,Burger,VeryHigh,4582,777
125,36,165.76,5,high pitched,Southern American,black,Yes,endomorph,------->?,F,Yes,Hot Dogs,VeryHigh,6565,?
126,35,167.21,8,deep,East Coast City Dialects,brown,Yes,**??,No,**??,Yes,Burger,Low,Bad,?
127,31,146.65,5,**??,Missing,brown,Yes,mesomorph,Yes,M,Yes,Burger,9714,9714,493
128,53,153.4,8,deep,Midwestern American,black,Yes,mesomorph,Yes,NB,Yes,Pizza,VeryHigh,6630,529
129,22,207.95,0,mid range,Midwestern American,black,No,mesomorph,No,M,No,Burger,Low,Bad,------->?
130,19,179.86,4,high pitched,East Coast City Dialects,white/gray,Yes,endomorph,No,M,**??,?,9730,9730,**??
131,**??,159.47,7,deep,Scottish,blond,Yes,mesomorph,No,NB,Yes,Burger,High,great,537
132,21,190.66,0,high pitched,------->?,red,No,endomorph,No,M,No,**??,VeryHigh,7062,**??
133,18,174.2,Missing,high pitched,Midwestern American,black,No,ectomorph,No,M,No,Burger,VeryHigh,3503,597
134,35,160.64,Missing,deep,Canadian,brown,Yes,mesomorph,No,F,Yes,Burger,High,great,------->?
135,41,143.14,5,deep,Welsh,?,No,mesomorph,No,NB,Yes,Burger,High,great,?
Missing,23,199.35,3,high pitched,East Coast City Dialects,black,Yes,mesomorph,No,F,No,Burger,VeryHigh,5072,377
137,53,152,8,------->?,East Coast City Dialects,brown,Missing,mesomorph,Yes,F,Missing,Apple Pie,VeryHigh,5403,279
138,24,180.97,1,deep,Midwestern American,white/gray,No,?,**??,F,No,Pizza,7926,7926,431
139,45,151.8,8,deep,Southern American,blond,Yes,?,No,NB,Yes,Burger,VeryHigh,5989,935
140,23,195.05,1,high pitched,Scottish,brown,No,ectomorph,Missing,F,No,Pizza,7509,7509,603
141,21,198.21,0,mid range,?,black,Yes,**??,Yes,M,No,Burger,Low,Bad,401
142,19,206.6,2,high pitched,Scottish,**??,No,ectomorph,Yes,M,No,Burger,High,great,------->?
143,50,155.47,8,deep,Southern American,blond,Yes,mesomorph,?,M,Yes,Burger,8746,8746,313
144,43,160.14,8,deep,Yorkshire,blond,No,endomorph,No,M,Missing,Burger,VeryHigh,3560,?
145,26,151.48,**??,high pitched,Southern American,blond,Yes,mesomorph,?,**??,Yes,Apple Pie,8156,8156,35
------->?,21,193.98,0,high pitched,Northern Irish,white/gray,Yes,mesomorph,Yes,M,No,Hot Dogs,VeryHigh,5559,**??
147,45,156.93,6,mid range,french,blond,Yes,mesomorph,No,NB,Yes,Apple Pie,VeryHigh,4036,573
148,52,163.07,4,Missing,Northern Irish,brown,Yes,------->?,Yes,NB,Yes,Burger,VeryHigh,7028,821
149,47,159.85,6,deep,Northern Irish,blond,Yes,ectomorph,No,F,Yes,Pizza,8188,8188,53
150,56,?,7,mid range,Midwestern American,blond,Yes,endomorph,**??,**??,Yes,Pizza,Low,Bad,1215
**??,55,**??,7,mid range,Southern American,**??,No,mesomorph,Yes,M,Yes,Burger,Low,Bad,829
152,19,193.55,------->?,high pitched,Boston,black,No,mesomorph,Yes,M,?,Burger,Low,Bad,115
153,22,197.9,3,Missing,Midwestern American,black,No,endomorph,No,M,No,Apple Pie,7847,7847,1217
154,26,147.69,8,deep,Canadian,blond,No,------->?,No,F,Yes,Burger,VeryHigh,5568,345
155,21,177.77,1,Missing,Northern Irish,white/gray,No,endomorph,Yes,M,No,------->?,9292,9292,883
156,------->?,196.39,3,mid range,East Coast City Dialects,white/gray,Yes,mesomorph,Yes,M,No,Pizza,High,great,------->?
157,49,147.33,8,deep,Northern Irish,?,Yes,mesomorph,Yes,F,Yes,**??,High,great,?
158,32,164.51,8,deep,Northern Irish,blond,Yes,ectomorph,No,M,Yes,Burger,Medium,Good,1357
159,34,157.47,8,mid range,Canadian,red,Yes,mesomorph,Yes,F,Yes,Pizza,High,great,**??
160,42,**??,8,------->?,Welsh,blond,No,ectomorph,?,M,Yes,Burger,VeryHigh,4798,**??
161,51,164.22,------->?,deep,Northern Irish,brown,Yes,mesomorph,Yes,M,Yes,Pizza,8380,8380,991
162,33,152.96,7,deep,East Coast City Dialects,blond,Yes,mesomorph,No,NB,Yes,Burger,VeryHigh,4840,749
163,24,208.82,3,deep,Missing,white/gray,Yes,endomorph,Yes,M,------->?,Hot Dogs,VeryHigh,4580,939
164,22,184.99,4,high pitched,Northern Irish,white/gray,No,ectomorph,No,NB,No,Pizza,VeryHigh,5201,------->?
165,19,206.54,?,high pitched,Southern American,dyed,Yes,mesomorph,Missing,?,**??,Burger,7707,7707,------->?
166,47,148.64,4,deep,**??,blond,No,mesomorph,Yes,F,Yes,Pizza,VeryHigh,6180,**??
167,28,152.45,7,deep,french,brown,Yes,ectomorph,Yes,NB,Yes,Burger,VeryHigh,5457,445
168,20,196.1,1,high pitched,Midwestern American,white/gray,------->?,ectomorph,No,?,?,Pizza,VeryHigh,4344,?
169,43,142.99,7,mid range,Scottish,brown,Yes,ectomorph,Yes,F,Yes,Burger,High,great,695
170,36,166.85,5,mid range,**??,brown,Yes,mesomorph,No,F,Yes,Apple Pie,VeryHigh,4891,505
**??,45,162.1,5,mid range,Midwestern American,blond,Yes,ectomorph,No,NB,Yes,Burger,9343,9343,879
172,43,153.07,8,deep,Southern American,brown,Yes,mesomorph,Yes,?,Yes,Burger,Low,Bad,Missing
173,47,156.91,4,------->?,Southern American,brown,?,**??,Yes,NB,Yes,Burger,8497,8497,121
174,18,Missing,1,high pitched,Northern Irish,black,No,Missing,No,M,No,Hot Dogs,8537,8537,**??
175,39,151.87,4,deep,Midwestern American,------->?,Missing,mesomorph,Yes,M,**??,Burger,Medium,Good,25
176,24,179.87,4,high pitched,Italian,white/gray,Yes,ectomorph,No,?,No,?,Low,Bad,981
177,?,166.22,------->?,deep,East Coast City Dialects,blond,No,endomorph,Yes,M,Yes,Burger,VeryHigh,6902,**??
178,56,169.48,7,mid range,------->?,blond,Yes,endomorph,Yes,M,Yes,Pizza,Low,Bad,**??
179,55,154.4,8,deep,------->?,blond,Missing,Missing,Yes,M,Yes,Burger,9792,9792,------->?
180,33,141.27,7,mid range,East Coast City Dialects,blond,Yes,**??,No,NB,Yes,Pizza,VeryHigh,6086,?
181,21,195.47,0,deep,East Coast City Dialects,Missing,Yes,ectomorph,Yes,M,No,Hot Dogs,Low,Bad,**??
182,39,143.84,4,deep,East Coast City Dialects,blond,Yes,mesomorph,Yes,M,Yes,Burger,High,great,------->?
183,21,192.29,4,mid range,Midwestern American,white/gray,No,ectomorph,No,NB,No,Burger,7963,7963,------->?
184,54,164.28,4,deep,East Coast City Dialects,brown,Yes,mesomorph,Yes,F,Yes,Burger,VeryHigh,3644,**??
185,19,**??,0,high pitched,Northern Irish,dyed,Yes,ectomorph,No,M,No,Hot Dogs,High,great,605
186,36,149.22,8,deep,Cockney,brown,Yes,ectomorph,No,NB,Yes,Burger,7763,7763,1353
187,23,193.83,2,high pitched,Italian,black,No,ectomorph,Yes,NB,No,Burger,Low,Bad,651
188,38,150.41,8,high pitched,Southern American,brown,Yes,ectomorph,No,M,Yes,Apple Pie,Low,Bad,**??
?,24,183.02,------->?,high pitched,Welsh,white/gray,No,mesomorph,Yes,M,No,**??,High,great,773
190,22,177.48,3,mid range,East Coast City Dialects,white/gray,No,mesomorph,**??,M,No,Burger,VeryHigh,6276,1453
191,22,185.36,3,high pitched,Northern Irish,white/gray,No,ectomorph,Yes,NB,No,**??,Medium,Good,683
192,19,171.48,0,high pitched,Yorkshire,white/gray,No,ectomorph,Yes,F,No,Hot Dogs,Low,Bad,**??
?,**??,161.37,7,mid range,Southern American,brown,Yes,mesomorph,?,Missing,Yes,------->?,7631,7631,285
194,22,187.89,?,**??,Southern American,black,No,mesomorph,No,M,No,Pizza,Medium,Good,------->?
195,24,209.64,------->?,mid range,Midwestern American,black,Yes,ectomorph,**??,M,No,Burger,VeryHigh,3549,Missing
196,40,Missing,8,?,Missing,**??,Yes,mesomorph,No,M,Yes,Burger,High,great,Missing
197,24,180.28,2,deep,Midwestern American,------->?,No,ectomorph,Yes,M,No,Hot Dogs,VeryHigh,4315,99
198,48,147.64,8,**??,------->?,blond,No,mesomorph,No,M,Yes,Burger,VeryHigh,6955,1063
199,**??,193.66,0,mid range,Northern Irish,white/gray,Missing,ectomorph,No,M,No,Hot Dogs,Low,Bad,?
200,------->?,188.74,3,mid range,Welsh,white/gray,No,ectomorph,No,F,No,Hot Dogs,VeryHigh,4207,?
201,20,171.93,0,high pitched,?,white/gray,Yes,endomorph,No,M,No,Hot Dogs,VeryHigh,6444,109
Missing,36,150.07,4,deep,Northern Irish,blond,Yes,ectomorph,No,M,Yes,Burger,VeryHigh,3652,863
203,39,152.65,8,mid range,Missing,dyed,?,mesomorph,No,NB,**??,Pizza,Low,Bad,**??
204,21,190.87,1,deep,Midwestern American,blond,Yes,------->?,Yes,M,No,Burger,High,great,**??
205,41,167.8,5,high pitched,Cockney,brown,Yes,mesomorph,No,M,**??,Burger,VeryHigh,4568,761
,,,,,,,,,,,,,,,
207,44,144.44,7,?,Northern Irish,blond,Yes,mesomorph,Yes,M,Yes,?,High,great,------->?
208,19,203.53,0,mid range,Northern Irish,brown,Yes,endomorph,No,M,No,Pizza,VeryHigh,4714,**??
209,43,163.97,8,deep,Midwestern American,black,No,mesomorph,Yes,?,Yes,Burger,VeryHigh,5511,------->?
210,25,146.41,4,deep,East Coast City Dialects,Missing,Yes,mesomorph,No,F,Yes,Apple Pie,VeryHigh,3924,397
211,19,181.06,1,high pitched,Canadian,white/gray,Yes,mesomorph,No,NB,No,Hot Dogs,VeryHigh,7108,971
212,18,185.18,3,mid range,Northern Irish,dyed,**??,mesomorph,Yes,F,No,Apple Pie,Low,Bad,?
213,52,153.37,7,Missing,Southern American,blond,Yes,ectomorph,Yes,NB,Yes,Burger,High,great,Missing
214,45,150.84,7,deep,Northern Irish,blond,No,mesomorph,No,**??,Yes,Missing,VeryHigh,4295,255
215,18,173.57,2,high pitched,Scottish,black,------->?,mesomorph,Yes,NB,No,Burger,Low,Bad,785
216,19,209.97,0,high pitched,Cockney,black,No,mesomorph,No,M,No,Burger,VeryHigh,5045,**??
,,,,,,,,,,,,,,,
?,24,188.28,?,high pitched,Northern Irish,white/gray,Yes,ectomorph,No,M,No,Hot Dogs,8735,8735,------->?
219,24,187.77,2,high pitched,Cockney,white/gray,No,mesomorph,No,M,No,Pizza,8971,8971,179
220,19,170.21,3,high pitched,East Coast City Dialects,red,**??,mesomorph,?,NB,No,Pizza,VeryHigh,6672,------->?
221,46,162.99,8,Missing,Boston,blond,Yes,mesomorph,No,M,Yes,Burger,8184,8184,359
222,51,161.83,5,deep,Midwestern American,black,Yes,ectomorph,Yes,M,Yes,Burger,Medium,Good,Missing
223,53,143.98,?,deep,Southern American,brown,Yes,endomorph,No,**??,Yes,Burger,Low,Bad,**??
224,38,?,5,deep,East Coast City Dialects,white/gray,Yes,ectomorph,No,NB,Yes,Burger,9407,9407,?
225,24,193.76,3,high pitched,------->?,white/gray,No,ectomorph,No,F,------->?,Hot Dogs,Medium,Good,Missing
226,21,192.55,0,Missing,Northern Irish,brown,Yes,endomorph,Yes,M,No,Apple Pie,7625,7625,Missing
Missing,19,177.61,3,high pitched,Southern American,brown,No,mesomorph,No,M,No,Burger,VeryHigh,5987,457
228,40,164.4,7,deep,Southern American,blond,Yes,mesomorph,No,**??,Yes,Burger,VeryHigh,5994,1
229,24,190.47,2,high pitched,East Coast City Dialects,brown,No,endomorph,No,M,No,Burger,VeryHigh,7307,259
230,Missing,146.09,8,mid range,Midwestern American,black,No,ectomorph,No,------->?,Yes,Pizza,8975,8975,571
231,55,**??,5,deep,Cockney,black,Yes,ectomorph,No,NB,Yes,Burger,VeryHigh,5832,587
232,40,156.65,4,------->?,Midwestern American,blond,Yes,mesomorph,No,F,Yes,Apple Pie,Low,Bad,**??
233,39,Missing,?,------->?,Missing,brown,Yes,mesomorph,Yes,M,Yes,Burger,VeryHigh,5452,?
234,19,195.23,4,high pitched,Midwestern American,white/gray,No,mesomorph,Yes,NB,No,Apple Pie,High,great,689
235,34,163.62,4,deep,Midwestern American,brown,Yes,ectomorph,Yes,F,Yes,Burger,VeryHigh,7475,491
236,51,169.25,4,deep,Welsh,brown,No,**??,No,M,Yes,Pizza,8686,8686,889
------->?,?,168.35,4,deep,Midwestern American,blond,Yes,mesomorph,No,M,**??,Burger,High,great,107
,,,,,,,,,,,,,,,
Missing,23,201.44,0,deep,Yorkshire,white/gray,?,ectomorph,No,M,No,Hot Dogs,High,great,------->?
240,42,145,7,deep,Southern American,brown,Yes,mesomorph,Yes,NB,Yes,Burger,VeryHigh,5904,?
241,43,147.37,7,deep,Yorkshire,brown,No,Missing,No,NB,Yes,Burger,VeryHigh,5081,631
242,**??,160.54,6,------->?,Cockney,brown,Yes,mesomorph,No,NB,Yes,Hot Dogs,VeryHigh,5572,?
243,22,207.42,3,high pitched,Midwestern American,blond,Yes,mesomorph,No,NB,No,Burger,VeryHigh,4706,?
244,------->?,151.49,5,deep,Southern American,brown,No,ectomorph,Yes,M,Yes,Burger,Low,Bad,Missing
245,19,189.23,3,high pitched,Northern Irish,black,No,endomorph,No,F,No,Hot Dogs,VeryHigh,5386,**??
246,34,151.3,6,deep,Boston,blond,Yes,mesomorph,Yes,F,Yes,Burger,VeryHigh,4985,1023
247,21,177.82,0,**??,Scottish,black,No,ectomorph,Yes,M,No,Pizza,Medium,Good,Missing
248,Missing,143.97,7,------->?,Canadian,blond,No,mesomorph,No,M,Yes,Pizza,8745,8745,?
249,18,207.44,2,high pitched,East Coast City Dialects,brown,No,ectomorph,Yes,F,No,Burger,High,great,------->?
250,22,180.05,0,mid range,East Coast City Dialects,**??,Yes,mesomorph,No,M,No,Burger,VeryHigh,5963,1431
251,47,165.99,4,mid range,------->?,------->?,Yes,mesomorph,No,F,Yes,Burger,High,great,Missing
252,45,146.25,4,Missing,Midwestern American,black,No,mesomorph,Yes,M,Yes,Pizza,VeryHigh,5195,Missing
253,35,153.61,5,Missing,?,brown,No,mesomorph,Yes,M,Yes,Apple Pie,VeryHigh,4685,Missing
?,22,188.34,1,high pitched,East Coast City Dialects,brown,?,ectomorph,Yes,F,No,Pizza,Low,Bad,------->?
255,21,198.21,1,high pitched,East Coast City Dialects,white/gray,Yes,mesomorph,Yes,NB,?,Burger,Low,Bad,?
256,**??,155.14,6,mid range,Yorkshire,blond,No,mesomorph,Yes,NB,Yes,Burger,High,great,729
,,,,,,,,,,,,,,,
